Epoch,Training set accuracy,Training set auc,Training set loss,Validation set accuracy,Validation set auc, Validation set loss
0,0.20758187770843506,0.5076481103897095,2.0246057510375977,0.315538614988327,0.5692907571792603,1.587388038635254
1,0.23790937662124634,0.546754777431488,1.840045690536499,0.45090562105178833,0.7692736983299255,1.4028093814849854
2,0.31135037541389465,0.6316837668418884,1.6644889116287231,0.602478563785553,0.8580092191696167,1.1977680921554565
3,0.38891878724098206,0.7119501233100891,1.4919782876968384,0.6673021912574768,0.8977103233337402,1.0142627954483032
4,0.4613279402256012,0.7781389951705933,1.3220157623291016,0.7521448731422424,0.9327881336212158,0.8473929762840271
5,0.5304172039031982,0.8247370719909668,1.1820827722549438,0.7569113373756409,0.9310705661773682,0.8085481524467468
6,0.5777927041053772,0.8563882112503052,1.075077772140503,0.8064823746681213,0.9461147785186768,0.703209400177002
7,0.617631196975708,0.8798762559890747,0.9874759912490845,0.8217349648475647,0.950441837310791,0.6577078104019165
8,0.6614176630973816,0.9005471467971802,0.9004665017127991,0.8379408717155457,0.9577281475067139,0.6008583307266235
9,0.6986092329025269,0.9165665507316589,0.824275016784668,0.8474738001823425,0.9597662091255188,0.5744967460632324
10,0.7263795137405396,0.9302869439125061,0.7539620399475098,0.8655862808227539,0.9665083885192871,0.5145256519317627
11,0.7533871531486511,0.9400306940078735,0.6985970139503479,0.8979980945587158,0.9732898473739624,0.4466079771518707
12,0.7812920808792114,0.9497203826904297,0.6403703093528748,0.9113441109657288,0.9763875603675842,0.402639776468277
13,0.7966801524162292,0.9560012817382812,0.5972743630409241,0.9027645587921143,0.9768845438957214,0.4018394649028778
14,0.8110363483428955,0.9610083103179932,0.558249294757843,0.9285033345222473,0.980802595615387,0.3441956043243408
15,0.8266038298606873,0.9658757448196411,0.5177444815635681,0.9370829463005066,0.9827560782432556,0.30462178587913513
16,0.8392552733421326,0.9699870347976685,0.48504653573036194,0.9342230558395386,0.9828217625617981,0.31506627798080444
17,0.8516823649406433,0.9729001522064209,0.4556094706058502,0.9475691318511963,0.9859138131141663,0.26070937514305115
18,0.8572453856468201,0.9755457639694214,0.43178144097328186,0.9437559843063354,0.9839611649513245,0.27847814559936523
19,0.863391637802124,0.9774231314659119,0.41308167576789856,0.9418493509292603,0.9847926497459412,0.2695600390434265
20,0.8731718063354492,0.9798520803451538,0.38509249687194824,0.9475691318511963,0.9901460409164429,0.2320440113544464
21,0.8803050518035889,0.9811318516731262,0.3696845471858978,0.9475691318511963,0.9885081648826599,0.23428815603256226
22,0.8833557367324829,0.9829707741737366,0.3507043719291687,0.9504289627075195,0.9886068105697632,0.22706131637096405
23,0.8884701728820801,0.9837858080863953,0.34290143847465515,0.9475691318511963,0.9892944097518921,0.23051343858242035
24,0.8898609280586243,0.9848639965057373,0.32786500453948975,0.9437559843063354,0.9912903308868408,0.2162371277809143
25,0.8958277106285095,0.9859486818313599,0.3153188228607178,0.9428026676177979,0.9911983013153076,0.21797694265842438
26,0.8993719220161438,0.9871088862419128,0.3009253740310669,0.9494757056236267,0.9912899732589722,0.21596288681030273
27,0.9034096002578735,0.9877795577049255,0.29056063294410706,0.9485223889350891,0.9920861124992371,0.20032384991645813
28,0.9048452377319336,0.9884398579597473,0.283863365650177,0.9532888531684875,0.9917265772819519,0.19984889030456543
29,0.9099147319793701,0.9897089004516602,0.26870208978652954,0.9590085744857788,0.994377613067627,0.17096470296382904
